Theta	E	Eerr
83.530964	1690.083146	0.988569
83.530964	1752.011668	1.846611
77.117911	1837.345928	0.153513
77.117911	1882.091953	0.357671
77.117911	1709.702177	0.904735
77.117911	1766.693637	1.955270
158.240042	1739.448874	0.382840
158.240042	1458.885456	1.520035
158.240042	1570.784885	6.734292
73.441640	1845.825125	0.125114
73.441640	1892.634080	0.330327
73.441640	1301.085568	36.479238
73.441640	1763.352725	1.552051
76.442762	1837.824730	0.187150
76.442762	1883.099456	0.461926
76.442762	1710.693586	0.922672
76.442762	1771.623164	2.389654
152.196176	1746.805146	0.376225
152.196176	1474.458695	0.962291
152.196176	1585.967281	1.787601
109.383650	1816.499576	0.476844
109.383650	1773.958532	1.490094
109.383650	1600.506556	2.163079
109.383650	1707.733163	8.504009
81.766070	1827.244400	0.172518
81.766070	1870.855557	0.299566
81.766070	1688.784669	0.641036
81.766070	1737.244469	2.149450
52.290158	1881.624644	0.259147
52.290158	1841.493025	6.895356
52.290158	-316.695501	3422.478172
67.114116	1857.512633	0.391364
67.114116	1787.527631	24.722715
67.114116	3568.715246	10644.505815
67.114116	1910.303550	1.766906
84.107983	1828.713561	0.441608
84.107983	1870.679866	0.746545
84.107983	21634.702796	11619.693023
84.107983	1692.016331	0.881178
70.743030	1848.542234	0.410503
70.743030	1873.597687	3.647431
70.743030	1763.554534	9.065384
70.743030	670.990769	57.791025
70.743030	453.705615	6.719931
