#---
#---EXFOR Standard Output---
#=============================================================================
#DATASET        O0851002 
#NOW            2022/03/23:15:09:21
#SUBENT         O0851002   20030501
#ENTRY          O0851      20030501
#AUTHOR1        M.Chiari+
#YEAR           2001
#X4REF1         J,NIM/B,174,259,2001
#REFERENCE1     Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.174, p.259 (2001)
#REACTION       13-AL-27(P,EL)13-AL-27,,DA
#D4REAC         R0#
#C4Reaction     (P,EL),DA
#ReactionType   DA
#Quantity       Differential c/s with respect to angle
#IndVarFamCode  [0 2 4      ]
#ExpectedUnits  [B/SR]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        9
#HEADER         7           9           12
!DATA        ERR-T       ERR-S       ERR-1       ERR-2       ERR-3       EN          EN-ERR      ANG         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    MEV         KEV         ADEG        
!Y.Value     Y.Err+-     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    X1.Err+-    X2.Value    
!0.1         0.911       0.944       0.955       0.955       0.955       1.1         1.911       2.1         
!variable    const       const       const       const       const       variable    const       variable    
!1.0         1.0         1.0         1.0         1.0         1.0         1000000.0   1000.0      1.0         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    EV          EV          ADEG        
#DATA           2512        9           12
 0.495       2.5         1.          1.          0.5         0.5         0.929       3.          115.        
 0.457       2.5         1.          1.          0.5         0.5         0.929       3.          120.        
 0.416       2.5         1.          1.          0.5         0.5         0.929       3.          125.        
 0.379       2.5         1.          1.          0.5         0.5         0.929       3.          130.        
 0.346       2.5         1.          1.          0.5         0.5         0.929       3.          135.        
 0.322       2.5         1.          1.          0.5         0.5         0.929       3.          140.        
 0.308       2.5         1.          1.          0.5         0.5         0.929       3.          145.        
 0.288       2.5         1.          1.          0.5         0.5         0.929       3.          150.        
 0.281       2.5         1.          1.          0.5         0.5         0.929       3.          155.        
 0.267       2.5         1.          1.          0.5         0.5         0.929       3.          160.        
 0.259       2.5         1.          1.          0.5         0.5         0.929       3.          165.        
 0.254       2.5         1.          1.          0.5         0.5         0.929       3.          170.        
 0.704       2.5         1.          1.          0.5         0.5         0.954       3.          100.        
 0.601       2.5         1.          1.          0.5         0.5         0.954       3.          105.        
 0.53        2.5         1.          1.          0.5         0.5         0.954       3.          110.        
 0.471       2.5         1.          1.          0.5         0.5         0.954       3.          115.        
 0.425       2.5         1.          1.          0.5         0.5         0.954       3.          120.        
 0.385       2.5         1.          1.          0.5         0.5         0.954       3.          125.        
 0.361       2.5         1.          1.          0.5         0.5         0.954       3.          130.        
 0.326       2.5         1.          1.          0.5         0.5         0.954       3.          135.        
 0.307       2.5         1.          1.          0.5         0.5         0.954       3.          140.        
 0.286       2.5         1.          1.          0.5         0.5         0.954       3.          145.        
 0.274       2.5         1.          1.          0.5         0.5         0.954       3.          150.        
 0.266       2.5         1.          1.          0.5         0.5         0.954       3.          155.        
 0.254       2.5         1.          1.          0.5         0.5         0.954       3.          160.        
 0.245       2.5         1.          1.          0.5         0.5         0.954       3.          165.        
 0.244       2.5         1.          1.          0.5         0.5         0.954       3.          170.        
 0.666       2.5         1.          1.          0.5         0.5         0.978       3.          100.        
 0.564       2.5         1.          1.          0.5         0.5         0.978       3.          105.        
 0.515       2.5         1.          1.          0.5         0.5         0.978       3.          110.        
 0.444       2.5         1.          1.          0.5         0.5         0.978       3.          115.        
 0.402       2.5         1.          1.          0.5         0.5         0.978       3.          120.        
 0.37        2.5         1.          1.          0.5         0.5         0.978       3.          125.        
 0.34        2.5         1.          1.          0.5         0.5         0.978       3.          130.        
 0.314       2.5         1.          1.          0.5         0.5         0.978       3.          135.        
 0.291       2.5         1.          1.          0.5         0.5         0.978       3.          140.        
 0.274       2.5         1.          1.          0.5         0.5         0.978       3.          145.        
 0.262       2.5         1.          1.          0.5         0.5         0.978       3.          150.        
 0.252       2.5         1.          1.          0.5         0.5         0.978       3.          155.        
 0.245       2.5         1.          1.          0.5         0.5         0.978       3.          160.        
 0.233       2.5         1.          1.          0.5         0.5         0.978       3.          165.        
 0.232       2.5         1.          1.          0.5         0.5         0.978       3.          170.        
 0.631       2.5         1.          1.          0.5         0.5         1.003       3.          100.        
 0.537       2.5         1.          1.          0.5         0.5         1.003       3.          105.        
 0.482       2.5         1.          1.          0.5         0.5         1.003       3.          110.        
 0.427       2.5         1.          1.          0.5         0.5         1.003       3.          115.        
 0.383       2.5         1.          1.          0.5         0.5         1.003       3.          120.        
 0.346       2.5         1.          1.          0.5         0.5         1.003       3.          125.        
 0.326       2.5         1.          1.          0.5         0.5         1.003       3.          130.        
 0.297       2.5         1.          1.          0.5         0.5         1.003       3.          135.        
