Theta	E
91.000000	1662.668250
91.000000	1649.674750
91.000000	1675.661750
91.000000	1721.638750
91.500000	1812.593250
91.500000	1862.568250
91.500000	1658.670250
91.500000	1680.659250
91.500000	1667.665750
91.500000	1642.678250
91.500000	1690.654250
91.500000	1713.642750
92.000000	1865.566750
92.000000	1814.592250
92.000000	1657.670750
92.000000	1672.663250
92.000000	1723.637750
92.000000	1686.656250
92.000000	1754.622250
92.500000	1815.591750
92.500000	1866.566250
92.500000	1662.668250
92.500000	1721.638750
92.500000	1681.658750
93.000000	1863.567750
93.000000	1816.591250
93.000000	1654.672250
93.000000	1666.666250
93.000000	1687.655750
93.000000	1726.636250
93.000000	1679.659750
93.500000	1862.568250
93.500000	1816.591250
93.500000	1662.668250
93.500000	1726.636250
93.500000	1675.661750
93.500000	1715.641750
93.500000	1687.655750
93.500000	1642.678250
93.500000	1733.632750
94.000000	1816.591250
94.000000	1864.567250
94.000000	1809.594750
94.000000	1661.668750
94.000000	1674.662250
94.000000	1728.635250
94.000000	1719.639750
94.500000	1815.591750
94.500000	1861.568750
94.500000	1667.665750
94.500000	1656.671250
94.500000	1682.658250
94.500000	1733.632750
94.500000	1722.638250
95.000000	1810.594250
95.000000	1854.572250
95.000000	1815.591750
95.000000	1838.580250
95.000000	1654.672250
95.000000	1666.666250
95.000000	1631.683750
95.000000	1719.639750
95.000000	1689.654750
95.500000	1845.576750
95.500000	1800.599250
95.500000	1646.676250
95.500000	1639.679750
95.500000	1631.683750
95.500000	1660.669250
95.500000	1688.655250
96.000000	1848.575250
96.000000	1841.578750
96.000000	1804.597250
96.000000	1629.684750
96.000000	1639.679750
96.000000	1619.689750
96.000000	1716.641250
96.500000	1804.597250
96.500000	1847.575750
96.500000	1642.678250
96.500000	1630.684250
97.000000	1846.576250
97.000000	1803.597750
97.000000	1795.601750
97.000000	1633.682750
97.000000	1640.679250
97.000000	1648.675250
97.000000	1720.639250
97.500000	1843.577750
97.500000	1803.597750
97.500000	1645.676750
97.500000	1631.683750
97.500000	1639.679750
97.500000	1662.668250
97.500000	1622.688250
98.000000	1844.577250
98.000000	1800.599250
98.000000	1642.678250
98.000000	1655.671750
98.000000	1689.654750
98.000000	1718.640250
98.500000	1799.599750
98.500000	1841.578750
98.500000	1646.676250
98.500000	1634.682250
99.000000	1843.577750
99.000000	1803.597750
99.000000	1640.679250
99.000000	1625.686750
99.000000	1684.657250
99.500000	1843.577750
99.500000	1848.575250
99.500000	1803.597750
99.500000	1640.679250
99.500000	1651.673750
99.500000	1620.689250
100.000000	1842.578250
100.000000	1797.600750
100.000000	1635.681750
100.000000	1646.676250
100.000000	1657.670750
100.000000	1625.686750
100.500000	1845.576750
100.500000	1793.602750
100.500000	1771.613750
100.500000	1644.677250
100.500000	1622.688250
100.500000	1654.672250
101.000000	1844.577250
101.000000	1790.604250
101.000000	1795.601750
101.000000	1628.685250
101.000000	1633.682750
101.000000	1619.689750
101.000000	1767.615750
101.000000	1644.677250
101.000000	1608.695250
101.000000	1657.670750
101.500000	1846.576250
101.500000	1839.579750
101.500000	1791.603750
101.500000	1610.694250
101.500000	1632.683250
101.500000	1622.688250
101.500000	1638.680250
101.500000	1764.617250
101.500000	1613.692750
102.000000	1844.577250
102.000000	1790.604250
102.000000	1617.690750
102.000000	1639.679750
102.000000	1611.693750
102.000000	1625.686750
102.000000	1646.676250
102.500000	1843.577750
102.500000	1788.605250
102.500000	1607.695750
102.500000	1649.674750
102.500000	1767.615750
102.500000	1640.679250
102.500000	1618.690250
103.000000	1843.577750
103.000000	1785.606750
103.000000	1792.603250
103.000000	1764.617250
103.000000	1611.693750
103.000000	1639.679750
103.500000	1840.579250
103.500000	1791.603750
103.500000	1783.607750
103.500000	1762.618250
103.500000	1624.687250
103.500000	1616.691250
103.500000	1649.674750
103.500000	1635.681750
103.500000	1607.695750
104.000000	1845.576750
104.000000	1790.604250
104.000000	1626.686250
104.000000	1638.680250
104.000000	1610.694250
104.000000	1600.699250
104.500000	1840.579250
104.500000	1789.604750
104.500000	1634.682250
104.500000	1611.693750
104.500000	1619.689750
104.500000	1756.621250
105.000000	1839.579750
105.000000	1789.604750
105.000000	1627.685750
105.000000	1618.690250
105.000000	1651.673750
105.000000	1642.678250
105.000000	1760.619250
105.000000	1607.695750
105.000000	1699.649750
105.500000	1840.579250
105.500000	1788.605250
105.500000	1796.601250
105.500000	1612.693250
105.500000	1635.681750
105.500000	1623.687750
105.500000	1601.698750
105.500000	1643.677750
105.500000	1686.656250
106.000000	1833.582750
106.000000	1779.609750
106.000000	1787.605750
106.000000	1612.693250
106.000000	1624.687250
106.000000	1594.702250
106.500000	1832.583250
106.500000	1783.607750
106.500000	1615.691750
106.500000	1753.622750
106.500000	1625.686750
106.500000	1600.699250
107.000000	1835.581750
107.000000	1780.609250
107.000000	1621.688750
107.000000	1584.707250
107.000000	1598.700250
107.000000	1637.680750
107.500000	1834.582250
107.500000	1781.608750
107.500000	1621.688750
107.500000	1769.614750
107.500000	1753.622750
107.500000	1583.707750
107.500000	1609.694750
107.500000	1633.682750
107.500000	1713.642750
107.500000	1705.646750
108.000000	1832.583250
108.000000	1774.612250
108.000000	1785.606750
108.000000	1618.690250
108.000000	1631.683750
108.000000	1757.620750
108.000000	1587.705750
108.000000	1708.645250
108.500000	1832.583250
108.500000	1776.611250
108.500000	1784.607250
108.500000	1622.688250
108.500000	1595.701750
108.500000	1763.617750
108.500000	1583.707750
108.500000	1752.623250
108.500000	1600.699250
108.500000	1705.646750
109.000000	1833.582750
109.000000	1779.609750
109.000000	1622.688250
109.000000	1764.617250
109.000000	1599.699750
109.000000	1590.704250
109.000000	1610.694250
109.500000	1831.583750
109.500000	1780.609250
